name,minPrice,maxPrice,meanP,modeP,stdP,CVP,skewP,kurtP
x1.16xlarge_SUSE Linux (Amazon VPC)_us-east-1c,['0.7660', '26.7000', '1.8545', '0.7660', '1.5217', '0.8205', '11.0132', '169.0445']
r3.8xlarge_SUSE Linux (Amazon VPC)_us-east-1c,['0.3878', '28.1000', '0.9470', '28.1000', '2.0843', '2.2010', '11.8459', '148.8261']
m2.4xlarge_SUSE Linux (Amazon VPC)_us-east-1c,['0.1643', '10.0000', '0.3440', '9.9000', '1.1363', '3.3029', '8.1687', '65.6023']
cr1.8xlarge_SUSE Linux (Amazon VPC)_us-east-1c,['0.3560', '35.1000', '1.1938', '35.1000', '3.3952', '2.8441', '9.4984', '91.7096']
r3.4xlarge_SUSE Linux (Amazon VPC)_us-east-1c,['0.2300', '14.2000', '0.5856', '14.1000', '1.1040', '1.8851', '11.0460', '129.2377']
x1.32xlarge_SUSE Linux (Amazon VPC)_us-east-1c,['1.5979', '133.4800', '7.1742', '133.4800', '20.7516', '2.8925', '5.8880', '32.8722']
m2.2xlarge_SUSE Linux (Amazon VPC)_us-east-1c,['0.1322', '5.0000', '0.2310', '5.0000', '0.4826', '2.0889', '9.4193', '89.2659']
m2.xlarge_SUSE Linux (Amazon VPC)_us-east-1c,['0.1160', '2.5500', '0.1306', '0.1250', '0.1576', '1.2064', '15.2036', '230.3588']
r3.xlarge_SUSE Linux (Amazon VPC)_us-east-1c,['0.1320', '3.6000', '0.1593', '3.6000', '0.1083', '0.6802', '26.3732', '796.8656']
r3.large_SUSE Linux (Amazon VPC)_us-east-1c,['0.1160', '1.8500', '0.1340', '0.1321', '0.0608', '0.4537', '26.5296', '741.9669']
